Day;Line;Direction;Stop name;Stop id;Theorical arrival time;Arrival time delay;Departure time delay;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;68590;0;6;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68100;0;-30;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68700;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68220;0;-30;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68820;0;5;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68322;0;-26;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68922;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;68448;0;-29;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;69048;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;68563;0;-12;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;69163;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;69763;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;68640;0;-30;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;69240;0;5;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;67528;0;-5;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;68728;0;-29;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;69328;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;67588;0;-6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;68788;0;-30;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;69388;0;5;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;67656;0;-5;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;68856;0;-12;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Auguste Delaune;SEM:2073;69456;0;6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;67740;0;-6;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;68940;0;-30;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;69540;0;5;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;67864;0;19;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;69064;0;-11;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;69664;0;5;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Denis Papin;SEM:2074;64140;0;3567;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Auguste Delaune;SEM:2072;64221;0;3567;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Marie Curie;SEM:2070;64288;0;3567;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, La Rampe - Centre-Ville;SEM:2068;64348;0;3567;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Echirolles Gare;SEM:2207;64440;0;3564;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Essarts - La Butte;SEM:2066;64504;0;3565;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Surieux;SEM:2064;64600;0;3565;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Les Granges;SEM:2062;64711;0;3565;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Polesud - Alpexpo;SEM:2060;64800;0;3564;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Grand'place;SEM:2212;64980;0;3559;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Grand'place;SEM:2212;68700;0;12;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Arlequin;SEM:2004;65085;0;3560;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2006;65149;0;3560;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Malherbe;SEM:2008;65220;0;3560;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, MC2: Maison de la Culture;SEM:2010;65318;0;3561;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Mounier;SEM:2012;67854;0;118;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Mounier;SEM:2012;68454;0;-6;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Mounier;SEM:2012;65454;0;3561;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Albert 1er de Belgique;SEM:2014;67920;0;117;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Albert 1er de Belgique;SEM:2014;65520;0;3560;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Verdun - Préfecture;SEM:2018;68220;0;76;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2020;67771;0;-63;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2020;68371;0;77;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;68220;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;67672;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;67781;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;68381;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;68981;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;67860;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;68460;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;69060;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;67928;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;68528;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;69128;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;67990;0;-74;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;68590;0;-26;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;69190;0;-26;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68100;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Grand'place;SEM:2218;68700;0;-27;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68220;0;-75;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Polesud - Alpexpo;SEM:2061;68820;0;-27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68316;0;-75;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;68916;0;-23;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Les Granges;SEM:2063;69516;0;-27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;68435;0;-75;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;69035;0;-24;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Surieux;SEM:2065;69635;0;-27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;68543;0;-75;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;69143;0;-25;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Essarts - La Butte;SEM:2067;69743;0;-27;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;68640;0;-100;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;69240;0;-51;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Echirolles Gare;SEM:2208;69840;0;-52;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;68728;0;-99;;
11/08/2022;SEM:A;L'Etoile;Échirolles, La Rampe - Centre-Ville;SEM:2069;69328;0;-50;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;67588;0;41;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Marie Curie;SEM:2071;68788;0;-100;;
